NUTS_CODE,nuts_level,country,country_en,adjective_en,nuts_1,nuts_2,nuts_3,YEAR,CDD,HDD
ES,0,España,Spain,Spanish,,,,2020,280.24,1554.52
ES1,1,España,Spain,Spanish,Noroeste,,,2010,21.31,2001.4199999999998
ES1,1,España,Spain,Spanish,Noroeste,,,1994,4.9399999999999995,1806.58
ES1,1,España,Spain,Spanish,Noroeste,,,1989,17.87,1688.1399999999996
ES1,1,España,Spain,Spanish,Noroeste,,,1993,15.18,2039.5299999999997
ES1,1,España,Spain,Spanish,Noroeste,,,2004,9.78,1969.66
ES1,1,España,Spain,Spanish,Noroeste,,,2009,9.27,1852.6399999999999
ES1,1,España,Spain,Spanish,Noroeste,,,2000,12.440000000000001,1899.12
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,1993,19.39,1985.03
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,1994,5.57,1769.91
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,1989,24.970000000000002,1609.85
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,2000,15.04,1839.1499999999999
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,2009,12.27,1760.34
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,2010,31.56,1894.8600000000001
ES11,2,España,Spain,Spanish,Noroeste,Galicia,,2004,12.9,1920.41
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,2010,16.53,1649.0699999999997
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,2000,15.9,1504.6200000000003
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,2009,2.6199999999999997,1544.95
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,2004,4.52,1606.61
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,1994,2.7600000000000002,1413.0099999999998
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,1989,13.01,1249.3899999999999
ES111,3,España,Spain,Spanish,Noroeste,Galicia,A Coruña,1993,17.97,1586.8199999999997
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,1980,3.78,2409.08
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,2007,4.879999999999999,2021.8000000000002
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,1996,2.0700000000000003,2029.6799999999998
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,2017,25.49,1819.9
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,2012,14.06,1943.4499999999998
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,2006,31.310000000000002,1856.3400000000001
ES112,3,España,Spain,Spanish,Noroeste,Galicia,Lugo,1988,3.69,2087.25
ES113,3,España,Spain,Spanish,Noroeste,Galicia,Ourense,2020,67.67,1920.5
ES114,3,España,Spain,Spanish,Noroeste,Galicia,Pontevedra,1986,11.440000000000001,1808.4299999999996
ES114,3,España,Spain,Spanish,Noroeste,Galicia,Pontevedra,2005,57.31999999999999,1540.19
ES114,3,España,Spain,Spanish,Noroeste,Galicia,Pontevedra,1997,31.88,1099.42
ES114,3,España,Spain,Spanish,Noroeste,Galicia,Pontevedra,1991,38.25,1715.1
ES114,3,España,Spain,Spanish,Noroeste,Galicia,Pontevedra,1985,17.929999999999996,1606.4099999999999
ES12,2,España,Spain,Spanish,Noroeste,Principado de Asturias,,1997,0.43,1675.2199999999998
